gene_id,gene_name,rel_amp_PROTECTED,rel_amp_EXPOSED,abs_amp_PROTECTED,abs_amp_EXPOSED,phase_hour_PROTECTED,phase_hour_EXPOSED,average_mesor_PROTECTED,average_mesor_EXPOSED,p_PROTECTED,p_EXPOSED,bh_q_PROTECTED,bh_q_EXPOSED,differentially_rhythmic
ENSG00000144668,ITGA9,0.242468269830132,0.106342005234216,3.81778554824148,1.78289982059236,13.7198491144303,12.9385877485481,15.7455057971756,16.7657156423331,5.79870457235904e-07,0.0118935757375751,1.1777792299982e-05,0.0319734388927139,FALSE
ENSG00000147065,MSN,0.239752521057267,0.215246023708671,69.1884910720182,59.7836314375942,4.89510369786019,3.62695691684318,288.582955319548,277.745578791781,0.000286525422948249,2.24791123810277e-06,0.0013680162900412,6.58789230825167e-05,FALSE
ENSG00000149573,MPZL2,0.621260359237075,0.344783359945969,52.2672996526922,25.9046366233203,3.58426387956962,3.49137273070085,84.131071418878,75.133082488029,1.89438794203772e-07,3.02961690264317e-05,4.93213194679591e-06,0.000382412473611973,FALSE
ENSG00000154096,THY1,0.177435084261144,0.452627279775303,4.64841103239842,20.7900221442439,5.23650400787176,2.22036450092728,26.1978122971273,45.9318805410152,0.572691295932464,2.21602302249684e-06,0.643542363630723,6.54828739788513e-05,TRUE
ENSG00000154736,ADAMTS5,0.00494391690016308,0.383667173151027,0.0588555287152738,6.26367690344185,14.960614450597,2.21642955077995,11.9046355154822,16.3258087784753,0.99965677780359,0.000242323760844952,0.999673415949785,0.00168639487806774,FALSE
ENSG00000159840,ZYX,0.119504261184564,0.25032557261104,12.6903350780269,31.6888593382656,3.37346084566671,2.10662065783557,106.191485995866,126.590579650862,0.259225389343037,0.000307243963259851,0.34497917303351,0.00200893203885468,FALSE
ENSG00000162692,VCAM1,0.0532597800298167,0.200689615253519,0.256279711081422,1.18127856411175,13.3790493630904,2.10651631890949,4.81188076514675,5.88609710880911,0.911978845348942,0.0109038059006125,0.930026018509008,0.0298401060756065,FALSE
ENSG00000163531,NFASC,0.225035584800414,0.188656495272425,6.50118718485522,4.9261510522582,13.1454143752092,15.2297544089985,28.8895962415063,26.1117490025706,6.44340526475357e-06,1.02312539232805e-06,7.12709154280032e-05,3.93747104185794e-05,FALSE
ENSG00000164171,ITGA2,0.28978892190755,0.107451840925226,25.1359555150634,7.64776583315616,4.65267890984285,3.86616890666825,86.7388420150939,71.1738930417964,9.28303697299329e-05,0.166920452687506,0.000562530389165206,0.24487295206045,FALSE
ENSG00000169992,NLGN2,0.127126802230438,0.285629473360832,3.78642136401953,10.7779142660573,1.67924389531036,2.17486263758152,29.7846032275399,37.7339009845168,0.0324875731163484,2.06511121206519e-07,0.0629652455169039,1.48807952025414e-05,TRUE
ENSG00000175866,BAIAP2,0.245608163807405,0.223326218013779,29.5122205460057,24.5353322390842,15.5011929180962,15.3138961313444,120.159770296348,109.863196794791,2.78550703045926e-05,0.000160630891626256,0.000217282645242494,0.00125436934844774,FALSE
ENSG00000178184,PARD6G,0.206709268100192,0.21757759718737,26.2667452495297,22.0878944661464,14.4104293642775,14.6574438961429,127.070960537668,101.517319575531,0.000231573286221475,4.2347631168157e-07,0.00116075178957717,2.2283430729877e-05,FALSE
